Designator,Mid X,Mid Y,Rotation,Layer
R13,202.11676,-138.10776,225.0,bottom
R14,194.01676,-144.80776,236.25,bottom
R15,184.61676,-149.80776,247.5,bottom
R16,174.41676,-152.90776,258.75,bottom
R17,163.91676,-153.90776,270.0,bottom
R18,153.41676,-152.80776,281.25,bottom
R19,143.11676,-149.80776,292.5,bottom
R2,174.41676,-46.90776,101.25,bottom
R20,133.786409,-144.818848,303.75,bottom
R21,125.748131,-138.039131,315.0,bottom
R22,119.01676,-129.80776,326.25,bottom
R23,114.01676,-120.50776,337.5,bottom
R24,111.004615,-110.338504,348.75,bottom
R25,109.91676,-99.80776,0.0,bottom
R26,111.004615,-89.277016,11.25,bottom
R27,114.11676,-79.10776,22.5,bottom
R28,119.11676,-69.80776,33.75,bottom
R29,125.81676,-61.60776,45.0,bottom
R3,184.71676,-50.00776,112.5,bottom
R30,134.11676,-55.00776,56.25,bottom
R31,143.31676,-50.00776,67.5,bottom
R32,153.41676,-46.90776,78.75,bottom
R33,136.71676,-4.30776,150.0,bottom
R34,143.691089,-12.6793,130.0,bottom
R35,153.21676,-18.10776,110.0,bottom
R37,174.71676,-18.10776,70.0,bottom
R38,184.11676,-12.70776,50.0,bottom
R39,191.21676,-4.20776,30.0,bottom
R4,194.01676,-55.00776,123.75,bottom
R40,255.347094,-68.671735,160.363,bottom
R41,258.41676,-77.90776,166.909,bottom
R42,260.41676,-87.714929,173.455,bottom
R43,261.01676,-99.90776,180.0,bottom
R44,260.51676,-112.100589,186.545,bottom
R45,258.51676,-122.00776,193.091,bottom
R46,255.71676,-131.50776,199.637,bottom
R47,136.61676,-195.60776,210.0,bottom
R48,143.81676,-187.20776,230.0,bottom
R49,153.11676,-181.70776,250.0,bottom
R5,202.11676,-61.70776,135.0,bottom
R50,164.01676,-179.80776,270.0,bottom
R51,174.61676,-181.70776,290.0,bottom
R52,184.21676,-187.20776,310.0,bottom
R53,191.21676,-195.70776,330.0,bottom
R54,72.31676,-68.40776,19.637,bottom
R55,69.61676,-77.90776,13.091000000000008,bottom
R56,67.799134,-87.625357,6.5449999999999875,bottom
R57,67.21676,-99.90776,0.0,bottom
R58,67.71676,-112.014929,353.45500000000004,bottom
R59,69.71676,-121.80776,346.909,bottom
R6,208.81676,-69.90776,146.25,bottom
R60,72.81676,-131.548472,340.363,bottom
R7,213.81676,-79.20776,157.5,bottom
R8,216.904615,-89.438504,168.75,bottom
R9,217.91676,-100.00776,180.0,bottom
